,subject,sessions,agent,loglik,logpostprob,BIC,AIC,params,params,params,params,params,params,params,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges,param_ranges
,,,,,,,,G_td,G_mb,alpQ,lbd,alpT,bias,pers,G_td,G_mb,alpQ,lbd,alpT,bias,pers
58,3,9-12,MF_MB,-34.99016936128042,-42.75025685438025,102.21653002447749,83.98033872256084,1.8918435715190387,4.779078218588848,0.8560230841589083,0.3380200647112407,0.10460677842935248,-0.3149902417519745,0.5197880733011053,pos,pos,unit,unit,unit,unc,unc
59,4,9-12,MF_MB,-50.979679866178174,-58.34700623099278,134.195551034273,115.95935973235635,1.0164553632812565,3.2706651744887205,0.8696533700294021,0.239211529829443,0.17835315065022742,0.05705431521999161,0.1177261721882997,pos,pos,unit,unit,unit,unc,unc
60,5,9-12,MF_MB,-28.79775979865194,-35.7542861296962,89.83171089922052,71.59551959730388,0.8982242069819137,3.2505400652709824,0.7766731406996005,0.5213635869996769,0.3117935976663827,0.3577283163029969,2.2576010960451773,pos,pos,unit,unit,unit,unc,unc
61,6,9-12,MF_MB,-38.03856785529038,-44.864925801056245,108.31332701249741,90.07713571058076,1.856697811104851,3.164904195233287,0.8503637253816675,0.8137824921637483,0.4147158694478418,-0.1703189588694883,0.8809587139355173,pos,pos,unit,unit,unit,unc,unc
62,7,9-12,MF_MB,-22.236958008565047,-29.895913888085268,76.71010731904673,58.473916017130094,2.229321752341239,6.661991451809141,0.5843736986755573,0.27728450039946834,0.2089068320467625,0.41002344182883826,1.8890798672032822,pos,pos,unit,unit,unit,unc,unc
63,8,9-12,MF_MB,-14.986714849583665,-24.2323392791606,62.209621001083974,43.973429699167326,7.772741733134693,3.6996971720482543,0.9207688030324427,0.43968096217068925,0.14503543661522963,0.06076313560705693,1.0582132456239273,pos,pos,unit,unit,unit,unc,unc
64,9,9-12,MF_MB,-21.428211765696183,-29.767625465762094,75.092614833309,56.856423531392366,4.01018669494318,6.708229124090735,0.8815577215335779,0.21947602385737072,0.28186437702191447,0.4860185890849219,0.044501951476470535,pos,pos,unit,unit,unit,unc,unc
65,10,9-12,MF_MB,-27.359097653937393,-35.589346672730926,86.95438660979143,68.7181953078748,1.1752963443254627,6.837354702297818,0.8730686047905177,0.6824409450104405,0.21016909484992788,-0.0061474553222702,1.136867891936842,pos,pos,unit,unit,unit,unc,unc
66,11,9-12,MF_MB,-29.94704619971404,-36.80333805665485,92.13028370134472,73.89409239942808,3.0979959147928042,0.868902307787197,0.5576342855937929,0.7155058777074997,0.4855465316283207,0.16515920039129986,2.6223247945872696,pos,pos,unit,unit,unit,unc,unc
67,12,9-12,MF_MB,-24.806428717402277,-32.90841741004492,81.84904873672119,63.61285743480455,1.5372702646344556,7.755661253912797,0.7956096238589365,0.7073622958529119,0.1884055991437186,0.019803190278888435,0.587253730916002,pos,pos,unit,unit,unit,unc,unc
68,13,9-12,MF_MB,-28.622903337640977,-39.012075953947694,89.4819979771986,71.24580667528195,4.805239431947851,1.1703390883769536,0.9737048709239831,0.96199473111845,0.6133441206873896,-0.1907596439342318,-0.8462088309049662,pos,pos,unit,unit,unit,unc,unc
69,14,9-12,MF_MB,-49.86075380726672,-56.83828048639921,131.95769891645008,113.72150761453344,1.146885330567224,4.353524785660573,0.8776423958922825,0.5593093655497368,0.3721726852614853,-0.11752607174352091,-1.0058765672956655,pos,pos,unit,unit,unit,unc,unc
70,15,9-12,MF_MB,-26.35456569959916,-34.06334973165853,84.94532270111496,66.70913139919833,2.8688273450642137,6.310318124894642,0.8787862106567522,0.6854238390528844,0.2774288845934356,0.30964081687222683,-0.09139864283503148,pos,pos,unit,unit,unit,unc,unc
71,16,9-12,MF_MB,-45.95596170515099,-54.50148677066419,124.14811471221861,105.91192341030198,0.534601571577787,4.825444218068463,0.8543980848810605,0.3923631608718464,0.07535520372050124,-0.2144264458944484,-0.18048995492865647,pos,pos,unit,unit,unit,unc,unc
72,17,9-12,MF_MB,-19.596917658359132,-28.97141596098832,71.43002661863491,53.193835316718264,4.469909468100975,10.077274032830399,0.7338466338889539,0.3863443593631001,0.1508725478909275,-0.24422349905583499,1.1036990677707936,pos,pos,unit,unit,unit,unc,unc
73,18,9-12,MF_MB,-56.52292247572741,-64.42181209014957,145.28203625337147,127.04584495145482,0.7700136406276621,1.12393396903393,0.9101081562586664,0.8377915204191626,0.40679617025941545,1.0808969818901433,-0.9757899004543379,pos,pos,unit,unit,unit,unc,unc
74,19,9-12,MF_MB,-48.82160310271628,-55.03764541487271,129.8793975073492,111.64320620543256,1.521573068752806,2.5963683246163773,0.8278611979764157,0.4193906259607308,0.35678928526578163,-0.4543276860604828,-0.637245527382945,pos,pos,unit,unit,unit,unc,unc
75,20,9-12,MF_MB,-39.66738042240832,-45.69110812144155,111.57095214673328,93.33476084481664,2.1592495954954845,2.1386413532548207,0.6471118676570072,0.3953324358582709,0.46625823792775695,-0.11547602450686706,1.9652203269430657,pos,pos,unit,unit,unit,unc,unc
76,21,9-12,MF_MB,-30.197897207667797,-37.592717305551105,92.63198571725223,74.39579441533559,0.8048462549265013,6.748208780420394,0.6411667942801689,0.6021651958617216,0.23403993103088702,0.5710270347602068,-0.4982452423178175,pos,pos,unit,unit,unit,unc,unc
77,22,9-12,MF_MB,-23.01946598056305,-31.268994736386563,78.27512326304274,60.0389319611261,3.831906891521649,1.223687005656894,0.8979299744247247,0.19455053726575772,0.2687149677915917,-0.4529846051031299,2.4488334240757292,pos,pos,unit,unit,unit,unc,unc
78,23,9-12,MF_MB,-30.123773516610296,-38.14352140528226,92.48373833513723,74.2475470332206,1.23276575510389,3.74382154384994,0.873501122451921,0.18658196899741064,0.14151263468208128,-0.1188463103693623,1.3898547232338203,pos,pos,unit,unit,unit,unc,unc
79,24,9-12,MF_MB,-37.14959500063638,-43.27372481685072,106.53538130318941,88.29919000127276,2.307154798321669,2.100326419386802,0.8282053032082027,0.4771601343201746,0.3955269517405314,-0.17434921651952248,0.911914648036064,pos,pos,unit,unit,unit,unc,unc
80,25,9-12,MF_MB,-29.112559959123203,-36.90282719162204,90.46131122016305,72.2251199182464,1.2348839145197972,5.852011087713615,0.3183430372587574,0.4594973816953953,0.17229351034580662,-0.15999231080532128,2.419116966940035,pos,pos,unit,unit,unit,unc,unc
81,26,9-12,MF_MB,-41.42748922968484,-48.36649696939479,115.09116976128632,96.85497845936968,3.422119105175179,1.1204538776221467,0.7548724720092334,0.8791483150529711,0.43662776566128003,0.45330954364971204,-0.5128911480397625,pos,pos,unit,unit,unit,unc,unc
82,27,9-12,MF_MB,-20.31318267605203,-28.855975127647138,72.8625566540207,54.62636535210406,2.014179818507248,7.813344126269227,0.9296850625798341,0.3739082784307499,0.33440782347616654,0.04939746515402508,-0.8056457787165758,pos,pos,unit,unit,unit,unc,unc
83,28,9-12,MF_MB,-59.02983845064341,-65.23939943576062,150.29586820320347,132.05967690128682,0.9040782704575265,1.3354930097395663,0.49608888437878,0.23055135559695242,0.35576496771944693,-0.5560369414367519,0.48342741295394864,pos,pos,unit,unit,unit,unc,unc
